Beginning of 3683 lines of CVR
1	102  Ward 2	5121627 N	2	1	Republican 
30	102  Ward 2	5121627 N	3	7	Mitt Romney		 President of Vice President
30	102  Ward 2	5121627		3	41	Barbara A Scott		 SCH1ALG School Board District 1 At Large
30	102  Ward 2	5121627		3	55	No						Local Question 1
31	102  Ward 2	5121627 N	3	9	Barack Obama		 President of Vice President
31	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
31	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
31	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
31	102  Ward 2	5121627		3	41	Barbara A Scott		 SCH1ALG School Board District 1 At Large
31	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
31	102  Ward 2	5121627		3	58	No						Local Question 2
31	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
31	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
31	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
31	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
31	102  Ward 2	5121627		3	40	Antjuan Seawright				SCH1ALG School Board District 1 At Large
31	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
31	102  Ward 2	5121627		3	57	Yes						Local Question 2
31	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
31	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
31	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
31	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
31	102  Ward 2	5121627		3	55	No						Local Question 1
32	102  Ward 2	5121627 N	3	3	Democratic 
32	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
32	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
32	102  Ward 2	5121627		3	29	Gary Watts				Coroner
32	102  Ward 2	5121627		3	38	Vince Ford				SCH1ALG School Board District 1 At Large
32	102  Ward 2	5121627		3	54	Yes						Local Question 1
33	102  Ward 2	5121627 N	3	3	Democratic 
33	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
33	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
33	102  Ward 2	5121627		3	29	Gary Watts				Coroner
33	102  Ward 2	5121627		3	35	John V Green		 Soil and Water District Commission
33	102  Ward 2	5121627		3	40	Antjuan Seawright				SCH1ALG School Board District 1 At Large
33	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
33	102  Ward 2	5121627		3	57	Yes						Local Question 2
33	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
33	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
33	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
33	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
33	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
33	102  Ward 2	5121627		3	57	Yes						Local Question 2
33	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
33	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
33	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
33	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
33	102  Ward 2	5121627		3	40	Antjuan Seawright				SCH1ALG School Board District 1 At Large
33	102  Ward 2	5121627		3	54	Yes						Local Question 1
34	102  Ward 2	5121627 N	3	7	Mitt Romney		 President of Vice President
34	102  Ward 2	5121627		3	52	No						Statewide Amendment No 1
34	102  Ward 2	5121627		3	57	Yes						Local Question 2
34	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
34	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
